DATE,Server Name,Data IN,Data OUT,Total
04-02-17,vpc-prod-vertex21,273.67GiB,373.77GiB,647.44GiB
04-02-17,vpc-prod-vertex23,290.05GiB,395.79GiB,685.84GiB
04-02-17,vpc-prod-vertex24,275.95GiB,376.88GiB,652.83GiB
04-02-17,vpc-prod-vertex25,293.10GiB,400.07GiB,693.18GiB
04-02-17,vpc-prod-vertex26,286.57GiB,391.09GiB,677.66GiB
04-02-17,vpc-prod-vertex28,287.94GiB,393.28GiB,681.22GiB
04-02-17,vpc-prod-vertex29,271.26GiB,370.64GiB,641.90GiB
04-02-17,vpc-prod-vertex31,297.44GiB,405.91GiB,703.35GiB
04-02-17,vpc-prod-vertex32,289.25GiB,394.87GiB,684.12GiB
04-02-17,vpc-prod-vertex33,269.17GiB,367.57GiB,636.75GiB
04-02-17,vpc-prod-vertex34,297.38GiB,405.82GiB,703.21GiB
04-02-17,vpc-prod-vertex35,287.66GiB,392.65GiB,680.31GiB
04-02-17,vpc-prod-vertex36,275.48GiB,375.86GiB,651.34GiB
04-02-17,vpc-prod-vertex38,275.53GiB,376.43GiB,651.96GiB
04-02-17,vpc-prod-vertex39,284.59GiB,388.32GiB,672.91GiB
04-02-17,vpc-prod-vertex40,294.40GiB,401.75GiB,696.15GiB
04-02-17,vpc-prod-vertex41,286.62GiB,391.25GiB,677.87GiB
04-02-17,vpc-prod-vertex42,276.62GiB,377.76GiB,654.38GiB
04-02-17,vpc-prod-vertex43,294.24GiB,401.56GiB,695.79GiB
04-02-17,vpc-prod-vertex44,286.81GiB,391.52GiB,678.33GiB
04-02-17,vpc-prod-vertex45,266.27GiB,363.69GiB,629.96GiB
04-02-17,vpc-prod-vertex46,290.55GiB,396.62GiB,687.17GiB
04-02-17,vpc-prod-vertex47,276.72GiB,378.05GiB,654.77GiB
04-02-17,vpc-prod-vertex49,298.13GiB,406.84GiB,704.97GiB
04-02-17,vpc-prod-vertex50,287.68GiB,392.68GiB,680.36GiB
04-02-17,vpc-prod-vertex52,285.28GiB,389.66GiB,674.94GiB
04-02-17,vpc-prod-vertex53,290.30GiB,396.12GiB,686.42GiB
04-02-17,vpc-prod-vertex55,286.23GiB,390.94GiB,677.17GiB
04-02-2017,vpc-prod-vertex01-usw,436.12GiB,862.55GiB,1.27TiB
04-02-2017,vpc-prod-vertex02-usw,438.30GiB,867.16GiB,1.27TiB
04-02-2017,vpc-prod-vertex03-usw,436.14GiB,862.58GiB,1.27TiB
04-02-2017,vpc-prod-vertex04-usw,437.53GiB,865.47GiB,1.27TiB
04-02-2017,vpc-prod-vertex05-usw,446.42GiB,863.49GiB,1.28TiB
04-02-2017,vpc-prod-vertex06-usw,446.45GiB,863.83GiB,1.28TiB
04-02-2017,vpc-prod-vertex07-usw,445.10GiB,860.93GiB,1.28TiB
04-02-2017,vpc-prod-vertex08-usw,445.80GiB,862.55GiB,1.28TiB
04-02-2017,vpc-prod-vertex09-usw,437.28GiB,864.71GiB,1.27TiB
04-02-2017,vpc-prod-vertex10-usw,436.85GiB,864.25GiB,1.27TiB
04-02-2017,vpc-prod-vertex11-usw,439.53GiB,869.16GiB,1.28TiB
04-02-2017,vpc-prod-vertex12-usw,439.48GiB,869.33GiB,1.28TiB
04-02-2017,vpc-prod-vertex13-usw,434.57GiB,859.42GiB,1.26TiB
04-02-2017,vpc-prod-vertex14-usw,439.57GiB,869.57GiB,1.28TiB
04-02-2017,vpc-prod-vertex15-usw,437.31GiB,864.89GiB,1.27TiB
04-02-2017,vpc-prod-vertex16-usw,438.42GiB,867.36GiB,1.28TiB
